candle_begin_time,open,high,low,close,volume
2017-01-01 21:10:00,1005.0,1005.5,1005.0,1005.5,15.11855217
2017-01-01 21:15:00,1005.0,1005.1,1004.0,1004.2,34.70231068
2017-01-01 21:20:00,1004.1,1004.8,1004.1,1004.1,38.10904935
2017-01-01 21:25:00,1004.7,1005.5,1004.7,1005.4,13.744213169999998
2017-01-01 21:30:00,1005.2,1005.5,1005.2,1005.4,5.345536
2017-01-01 21:35:00,1005.4,1006.5,1005.3,1006.5,197.59329171
2017-01-01 21:40:00,1005.8,1006.5,1005.8,1005.8,21.120096399999998
2017-01-01 21:45:00,1006.3,1006.3,1005.5,1005.6,3.50583366
2017-01-01 21:50:00,1005.8,1006.5,1004.5,1004.6,59.31272005999998
2017-01-01 21:55:00,1004.6,1005.3,1004.5,1004.6,16.76354189
2017-01-01 22:00:00,1004.5,1006.5,1004.5,1004.9,26.340207630000013
2017-01-01 22:05:00,1004.9,1004.9,1004.5,1004.5,1.99
2017-01-01 22:10:00,1004.5,1004.5,1004.1,1004.1,13.16120205
2017-01-01 22:15:00,1004.2,1006.5,1004.1,1004.7,81.99703029000001
2017-01-01 22:20:00,1004.9,1004.9,1004.9,1004.9,1.13952899
2017-01-01 22:25:00,1004.6,1004.6,1004.6,1004.6,1.05
2017-01-01 22:30:00,1004.6,1004.6,1004.6,1004.6,0.6646622
2017-01-01 22:35:00,1004.7,1004.7,1004.2,1004.7,18.613720490000006
2017-01-01 22:40:00,1004.6,1004.7,1004.2,1004.7,2.3222899100000003
2017-01-01 22:45:00,1004.7,1004.7,1004.6,1004.6,0.9340329700000001
2017-01-01 22:50:00,1004.5,1004.5,1004.0,1004.2,44.03047669
2017-01-01 22:55:00,1004.0,1004.7,1004.0,1004.7,4.196017879999999
2017-01-01 23:00:00,1004.7,1005.8,1004.1,1005.4,12.866623369999997
2017-01-01 23:05:00,1004.8,1005.3,997.0,1000.8,270.56407142999996
2017-01-01 23:10:00,1000.0,1001.0,998.12,999.25,102.76313101
2017-01-01 23:15:00,998.54,999.04,995.03,999.0,61.15284373999999
2017-01-01 23:20:00,999.04,999.99,998.4,999.99,41.08331612999999
2017-01-01 23:25:00,999.99,1000.0,999.99,1000.0,3.3244139099999996
2017-01-01 23:30:00,1000.0,1001.6,999.99,1001.6,12.84522392
2017-01-01 23:35:00,999.18,1001.2,995.08,995.08,80.58390999000001
2017-01-01 23:40:00,996.31,998.07,996.01,998.07,5.672062909999999
2017-01-01 23:45:00,997.43,997.69,995.06,997.42,25.833556310000002
2017-01-01 23:50:00,998.87,999.17,991.5,996.99,373.2206070099999
2017-01-01 23:55:00,997.0,999.34,996.28,998.99,70.99350707999999
